ID,ParentId,Name,ShortName,MergerName,山西,LevelType,CityCode,ZipCode,lng,Lat,port mapping,border maping
220521,220500,通化县,通化,"中国,吉林省,通化市,通化县",Tonghua,3,435,134100,12.575.936,4.167.928,,
220523,220500,辉南县,辉南,"中国,吉林省,通化市,辉南县",Huinan,3,435,135100,12.604.684,4.268.497,,
220524,220500,柳河县,柳河,"中国,吉林省,通化市,柳河县",Liuhe,3,435,135300,12.574.475,4.228.468,,
220581,220500,梅河口市,梅河口,"中国,吉林省,通化市,梅河口市",Meihekou,3,435,135000,12.571.041,4.253.828,,
220582,220500,集安市,集安,"中国,吉林省,通化市,集安市",Ji'an,3,435,134200,12.618.829,4.112.268,,
220600,220000,白山市,白山,"中国,吉林省,白山市",Baishan,2,439,134300,126.427.839,41.942.505,1A2,
220602,220600,浑江区,浑江,"中国,吉林省,白山市,浑江区",Hunjiang,3,439,134300,126.422.342,41.945.656,,
220605,220600,江源区,江源,"中国,吉林省,白山市,江源区",Jiangyuan,3,439,134700,12.659.079,4.205.664,,
220621,220600,抚松县,抚松,"中国,吉林省,白山市,抚松县",Fusong,3,439,134500,1.272.803,4.234.198,,
220622,220600,靖宇县,靖宇,"中国,吉林省,白山市,靖宇县",Jingyu,3,439,135200,12.681.308,4.238.863,,
220623,220600,长白朝鲜族自治县,长白,"中国,吉林省,白山市,长白朝鲜族自治县",Changbai,3,439,134400,12.820.047,4.141.996,,
220681,220600,临江市,临江,"中国,吉林省,白山市,临江市",Linjiang,3,439,134600,12.691.751,4.181.142,,
220700,220000,松原市,松原,"中国,吉林省,松原市",Songyuan,2,438,138000,124.823.608,45.118.243,1A2,
220702,220700,宁江区,宁江,"中国,吉林省,松原市,宁江区",Ningjiang,3,438,138000,12.481.689,4.517.175,,
220721,220700,前郭尔罗斯蒙古族自治县,前郭尔罗斯,"中国,吉林省,松原市,前郭尔罗斯蒙古族自治县",Qianguoerluosi,3,438,138000,12.482.351,4.511.726,,
220722,220700,长岭县,长岭,"中国,吉林省,松原市,长岭县",Changling,3,438,131500,12.396.725,4.427.581,,
220723,220700,乾安县,乾安,"中国,吉林省,松原市,乾安县",Qian'an,3,438,131400,12.402.737,4.501.068,,
220781,220700,扶余市,扶余,"中国,吉林省,松原市,扶余市",Fuyu,3,438,131200,126.042.758,44.986.199,,
220800,220000,白城市,白城,"中国,吉林省,白城市",Baicheng,2,436,137000,122.841.114,45.619.026,1A2,
220802,220800,洮北区,洮北,"中国,吉林省,白城市,洮北区",Taobei,3,436,137000,12.285.104,4.562.167,,
220821,220800,镇赉县,镇赉,"中国,吉林省,白城市,镇赉县",Zhenlai,3,436,137300,12.319.924,4.584.779,,
220822,220800,通榆县,通榆,"中国,吉林省,白城市,通榆县",Tongyu,3,436,137200,12.308.761,4.481.388,,
220881,220800,洮南市,洮南,"中国,吉林省,白城市,洮南市",Taonan,3,436,137100,12.278.772,4.533.502,,
220882,220800,大安市,大安,"中国,吉林省,白城市,大安市",Da'an,3,436,131300,12.429.519,4.550.846,,
222400,220000,延边朝鲜族自治州,延边,"中国,吉林省,延边朝鲜族自治州",Yanbian,2,433,133000,129.513.228,42.904.823,1A2,
222401,222400,延吉市,延吉,"中国,吉林省,延边朝鲜族自治州,延吉市",Yanji,3,433,133000,12.951.357,4.290.682,,
222402,222400,图们市,图们,"中国,吉林省,延边朝鲜族自治州,图们市",Tumen,3,433,133100,12.984.381,4.296.801,,
